Title,Artists,Danceability,dDanceability,Energy,dEnergy,Speechiness,dSpeechiness,Acousticness,dAcousticness,Instrumentalness,dInstrumentalness,Liveness,dLiveness,Valence,dValence,Overall Difference,Key,dKey,Mode,dMode,Tempo,dTempo,Loudness, dLoudness
Enter Sandman,"Alessia Cara, The Warning",0.537,-0.028999999999999915,0.636,-0.19799999999999995,0.0279,-0.001899999999999999,0.000172,-0.002598,0.000576,-0.007424,0.138,0.07550000000000001,0.162,-0.45899999999999996,0.5064501213150215,4,-2,0,0,130.997,7.701000000000008,-9.164,-0.7519999999999989,
Enter Sandman,"Mac DeMarco",0.577,0.01100000000000001,0.796,-0.03799999999999992,0.0356,0.0058,8.43e-05,-0.0026857,0.0189,0.0109,0.107,0.0445,0.427,-0.194,0.20332464922996915,0,-6,1,1,126.721,3.424999999999997,-5.486,2.926000000000001,
Enter Sandman,"Ghost",0.356,-0.20999999999999996,0.708,-0.126,0.039,0.0092,0.00253,-0.00023999999999999976,0.000102,-0.007898,0.0951,0.032600000000000004,0.378,-0.243,0.3467489524194702,2,-4,1,1,123.035,-0.2610000000000099,-6.52,1.8920000000000012,
Enter Sandman,"Juanes",0.775,0.20900000000000007,0.535,-0.29899999999999993,0.0434,0.013600000000000001,0.00118,-0.0015899999999999998,5.69e-05,-0.0079431,0.0739,0.011399999999999993,0.655,0.03400000000000003,0.3669039941696056,2,-4,1,1,123.018,-0.2780000000000058,-6.613,1.7990000000000004,
Enter Sandman,"Rina Sawayama",0.519,-0.04699999999999993,0.954,0.12,0.113,0.0832,0.00122,-0.00155,0.00015,-0.00785,0.0847,0.022199999999999998,0.302,-0.319,0.35475217405958204,9,3,0,0,124.695,1.3989999999999867,-4.413,3.9990000000000006,
Enter Sandman,"Weezer",0.533,-0.03299999999999992,0.846,0.01200000000000001,0.0499,0.0201,0.00105,-0.00172,0.0114,0.0034000000000000002,0.145,0.08249999999999999,0.446,-0.175,0.19769364784939344,5,-1,0,0,124.2,0.9039999999999964,-4.934,3.4780000000000006,
Sad But True (Live),"Sam Fender",0.536,-0.08799999999999997,0.269,-0.607,0.0261,-0.0081,0.698,0.697074,0,-0.00164,0.0681,0.011999999999999997,0.205,-0.24800000000000003,0.9611563145898798,3,-4,0,-1,65.946,-23.293999999999997,-7.055,-1.0499999999999998,
Sad But True,"Jason Isbell and the 400 Unit",0.369,-0.255,0.887,0.01100000000000001,0.0631,0.028900000000000002,0.0113,0.010374,0.0359,0.03426,0.232,0.1759,0.49,0.03699999999999998,0.3155509269135491,7,0,1,0,105.867,16.62700000000001,-4.582,1.423,
Sad But True,"Mexican Institute Of Sound, La Perla, Gera MX, Metallica",0.578,-0.04600000000000004,0.818,-0.05800000000000005,0.147,0.11279999999999998,0.00215,0.001224,0.0162,0.01456,0.335,0.27890000000000004,0.451,-0.0020000000000000018,0.31017179397230826,2,-5,1,0,178.083,88.843,-5.119,0.8860000000000001,
Sad But True,"Royal Blood",0.477,-0.14700000000000002,0.872,-0.0040000000000000036,0.034,-0.0001999999999999988,8.75e-05,-0.0008384999999999999,0.00323,0.0015899999999999998,0.0756,0.019500000000000003,0.631,0.178,0.23171646722287564,7,0,1,0,89.092,-0.14799999999999613,-4.436,1.569,
Sad But True,"St. Vincent",0.479,-0.14500000000000002,0.733,-0.14300000000000002,0.0871,0.052899999999999996,0.000589,-0.00033699999999999995,0.000432,-0.0012079999999999999,0.283,0.2269,0.508,0.05499999999999999,0.3142969819024675,9,2,0,-1,179.995,90.75500000000001,-8.539,-2.534,
Sad But True,"White Reaper",0.48,-0.14400000000000002,0.846,-0.030000000000000027,0.0356,0.0013999999999999985,0.00011,-0.000816,0.00442,0.0027800000000000004,0.37,0.3139,0.415,-0.038000000000000034,0.3487457014158024,7,0,1,0,92.203,2.963000000000008,-4.975,1.0300000000000002,
Sad But True,"YB",0.476,-0.14800000000000002,0.932,0.05600000000000005,0.0364,0.0022000000000000006,4.78e-05,-0.0008782,0.155,0.15336,0.0721,0.016,0.609,0.15599999999999997,0.2704753238934007,0,-7,1,0,98.002,8.762,-4.233,1.7720000000000002,
Holier Than Thou,"Biffy Clyro",0.471,0.012999999999999956,0.735,-0.235,0.0375,-0.0033000000000000043,0.0039,0.00212,0.000523,-0.271477,0.165,0.0824,0.0598,-0.2822,0.46425827502479694,6,2,1,1,144.058,-28.064999999999998,-8.33,-2.415,
Holier Than Thou,"The Chats",0.156,-0.30200000000000005,0.987,0.017000000000000015,0.156,0.1152,0.00247,0.0006900000000000001,0.293,0.020999999999999963,0.12,0.03739999999999999,0.0395,-0.30250000000000005,0.44509608636787634,9,5,1,1,184.117,11.994,-4.354,1.561,
Holier Than Thou,"OFF!",0.224,-0.234,0.995,0.025000000000000022,0.263,0.2222,2.31e-05,-0.0017568999999999998,0.601,0.32899999999999996,0.0758,-0.0068000000000000005,0.143,-0.19900000000000004,0.502638206563737,4,0,1,1,176.374,4.251000000000005,-5.408,0.5069999999999997,
Holier Than Thou,"PUP",0.407,-0.051000000000000045,0.944,-0.026000000000000023,0.0397,-0.0011000000000000038,6.7e-05,-0.001713,0.0204,-0.25160000000000005,0.334,0.2514,0.614,0.27199999999999996,0.45140853377954654,1,-3,0,0,170.953,-1.1699999999999875,-5.257,0.6580000000000004,
Holier Than Thou,"Corey Taylor",0.478,0.019999999999999962,0.987,0.017000000000000015,0.0685,0.027700000000000002,0.00144,-0.0003399999999999998,0.00607,-0.26593,0.837,0.7544,0.547,0.20500000000000002,0.8266314357075951,1,-3,0,0,172.065,-0.057999999999992724,-3.528,2.387,
The Unforgiven,"Cage The Elephant",0.576,0.04499999999999993,0.634,0.051000000000000045,0.0311,0.005499999999999998,0.0563,0.0379,0.163,0.15676,0.136,-0.119,0.189,-0.017999999999999988,0.2124884881587706,7,0,1,0,143.989,4.486000000000018,-8.99,0.4800000000000004,
The Unforgiven,"Vishal Dadlani, DIVINE, Shor Police, Metallica",0.591,0.05999999999999994,0.544,-0.038999999999999924,0.0383,0.0127,0.142,0.12359999999999999,0,-0.00624,0.152,-0.10300000000000001,0.449,0.24200000000000002,0.299618403306606,6,-1,0,-1,140.016,0.5130000000000052,-8.901,0.5690000000000008,
The Unforgiven,"Diet Cig",0.286,-0.24500000000000005,0.81,0.2270000000000001,0.0569,0.031299999999999994,0.00362,-0.01478,0.102,0.09576,0.211,-0.04400000000000001,0.247,0.04000000000000001,0.35420067193612165,0,-7,1,0,138.742,-0.7609999999999957,-5.625,3.8450000000000006,
The Unforgiven,"Flatbush Zombies, DJ Scratch, Metallica",0.589,0.05799999999999994,0.893,0.31000000000000005,0.079,0.0534,0.00809,-0.01031,0.000188,-0.006052,0.166,-0.089,0.366,0.159,0.3683211680096598,7,0,1,0,97.994,-41.508999999999986,-6.342,3.128000000000001,
The Unforgiven,"Ha*Ash",0.539,0.008000000000000007,0.483,-0.09999999999999998,0.0352,0.009600000000000001,0.489,0.4706,0,-0.00624,0.101,-0.154,0.23,0.02300000000000002,0.5058700006918774,7,0,0,-1,148.222,8.719000000000023,-6.921,2.5490000000000004,
The Unforgiven,"José Madero",0.551,0.020000000000000018,0.634,0.051000000000000045,0.0332,0.007599999999999999,0.355,0.3366,1.7e-06,-0.0062383,0.0896,-0.1654,0.278,0.07100000000000004,0.38574006323804383,8,1,0,-1,129.909,-9.593999999999994,-6.895,2.575000000000001,
The Unforgiven,"Moses Sumney",0.393,-0.138,0.274,-0.30899999999999994,0.0541,0.0285,0.802,0.7836000000000001,0.00581,-0.0004299999999999998,0.114,-0.14100000000000001,0.105,-0.102,0.8715798270382352,3,-4,0,-1,139.159,-0.3439999999999941,-15.417,-5.946999999999999,
Wherever I May Roam,"J Balvin, Metallica",0.685,0.14600000000000002,0.738,-0.09599999999999997,0.0329,-0.003500000000000003,0.0024,0.001754,0,-0.000516,0.386,0.267,0.199,-0.14,0.3484775355342149,5,-4,1,1,129.002,-2.3810000000000002,-5.893,1.5659999999999998,
Wherever I May Roam,"Chase & Status, BackRoad Gee, Metallica",0.626,0.08699999999999997,0.734,-0.09999999999999998,0.376,0.3396,0.233,0.232354,2.62e-05,-0.0004898,0.0645,-0.05449999999999999,0.347,0.007999999999999952,0.43579815421825735,9,0,1,1,139.726,8.34299999999999,-6.456,1.0029999999999992,
Wherever I May Roam,"The Neptunes, Metallica",0.703,0.16399999999999992,0.943,0.10899999999999999,0.0632,0.026800000000000004,0.0151,0.014454,0.0115,0.010984,0.095,-0.023999999999999994,0.518,0.179,0.26915015580898327,0,-9,1,1,132.003,0.6199999999999761,-7.265,0.19399999999999995,
Wherever I May Roam,"Jon Pardi",0.432,-0.10700000000000004,0.905,0.07100000000000006,0.0618,0.0254,0.0014,0.000754,0.00918,0.008664000000000002,0.389,0.27,0.237,-0.10200000000000004,0.31704068100482,2,-7,1,1,133.827,2.4439999999999884,-3.214,4.244999999999999,
Don't Tread on Else Matters,"SebastiAn, Metallica",0.391,-0.264,0.621,-0.261,0.179,0.1299,0.0101,0.0033,0.171,0.16803,0.0911,-0.1679,0.512,-0.16600000000000004,0.4885513185940655,9,5,1,1,161.879,53.859999999999985,-5.593,0.8780000000000001,
Don't Tread on Me,"Portugal. The Man, Aaron Beam",0.355,-0.30000000000000004,0.878,-0.0040000000000000036,0.148,0.09889999999999999,0.00325,-0.0035499999999999998,0.0164,0.013430000000000001,0.274,0.015000000000000013,0.158,-0.52,0.6087817157241173,2,-2,1,1,105.962,-2.057000000000002,-5.987,0.484,
Don't Tread on Me,"Volbeat",0.565,-0.09000000000000008,0.934,0.052000000000000046,0.0488,-0.0002999999999999947,2.57e-05,-0.0067743,0.00103,-0.0019399999999999999,0.187,-0.07200000000000001,0.562,-0.11599999999999999,0.17173742964330757,0,-4,1,1,125.027,17.007999999999996,-6.022,0.44899999999999984,
Through the Never,"The HU",0.478,0.09399999999999997,0.91,-0.039999999999999925,0.084,0.029400000000000003,0.000742,-0.010158,0.2,-0.15099999999999997,0.0955,-0.04350000000000001,0.369,-0.11299999999999999,0.2210560900857517,1,-3,1,1,94.336,0.06999999999999318,-7.019,-1.0760000000000005,
Through the Never,"Tomi Owó",0.439,0.05499999999999999,0.789,-0.16099999999999992,0.0998,0.0452,0.0366,0.0257,0.000101,-0.35089899999999996,0.0723,-0.06670000000000001,0.761,0.279,0.4868978621856949,0,-4,1,1,85.216,-9.050000000000011,-7.316,-1.3730000000000002,
Nothing Else Matters,"Phoebe Bridgers",0.355,-0.19200000000000006,0.317,-0.07700000000000001,0.0325,0.0063,0.885,0.8328,0.00679,0.0067836,0.111,0.0315,0.529,0.359,0.9307565724876511,11,7,0,0,151.984,9.614000000000004,-14.056,-4.263,
Nothing Else Matters,"Miley Cyrus, WATT, Elton John, Yo-Yo Ma, Robert Trujillo, Chad Smith",0.444,-0.10300000000000004,0.66,0.266,0.0297,0.0034999999999999996,0.00551,-0.04669,1.92e-05,1.28e-05,0.115,0.035500000000000004,0.144,-0.026000000000000023,0.29239264057742637,4,0,0,0,142.519,0.1490000000000009,-5.658,4.134999999999999,
Nothing Else Matters,"Dave Gahan",0.17,-0.377,0.144,-0.25,0.037,0.010799999999999997,0.926,0.8738,0.251,0.2509936,0.0846,0.005099999999999993,0.124,-0.04600000000000001,1.0165686780739214,4,0,0,0,75.971,-66.399,-18.95,-9.157,
Nothing Else Matters,"Mickey Guyton",0.335,-0.21200000000000002,0.546,0.15200000000000002,0.0432,0.017,0.0343,-0.017900000000000006,4.85e-05,4.21e-05,0.0811,0.0016000000000000042,0.195,0.024999999999999994,0.2632203863161249,9,5,0,0,139.318,-3.0519999999999925,-8.223,1.5699999999999985,
Nothing Else Matters,"Dermot Kennedy",0.494,-0.05300000000000005,0.116,-0.278,0.0332,0.006999999999999999,0.951,0.8987999999999999,1.51e-06,-4.89e-06,0.0895,0.009999999999999995,0.152,-0.018000000000000016,0.9425536801816181,4,0,0,0,72.543,-69.827,-10.829,-1.0360000000000014,
Nothing Else Matters,"Mon Laferte",0.45,-0.09700000000000003,0.617,0.22299999999999998,0.0302,0.004,0.542,0.4898,0.0799,0.0798936,0.101,0.021500000000000005,0.153,-0.017000000000000015,0.5533464351750719,9,5,0,0,151.096,8.725999999999999,-7.586,2.206999999999999,
Nothing Else Matters,"Igor Levit",0.416,-0.13100000000000006,0.214,-0.18000000000000002,0.0379,0.011700000000000002,0.988,0.9358,0.908,0.9079936000000001,0.0526,-0.0269,0.135,-0.035,1.3235635676615463,4,0,0,0,72.078,-70.292,-15.543,-5.75,
Nothing Else Matters,"My Morning Jacket",0.641,0.09399999999999997,0.642,0.248,0.0351,0.008899999999999998,0.239,0.1868,6.08e-05,5.44e-05,0.209,0.1295,0.635,0.46499999999999997,0.5816431061736741,4,0,1,1,123.053,-19.317000000000007,-6.027,3.765999999999999,
Nothing Else Matters,"PG Roxette",0.269,-0.278,0.52,0.126,0.0375,0.011299999999999998,0.0554,0.0031999999999999945,0.0186,0.0185936,0.123,0.0435,0.232,0.062,0.3152457802429083,10,6,0,0,154.938,12.567999999999984,-8.541,1.251999999999999,
Nothing Else Matters,"Darius Rucker",0.384,-0.16300000000000003,0.414,0.019999999999999962,0.0279,0.0017000000000000001,0.0817,0.02949999999999999,0.00811,0.008103599999999999,0.0955,0.016,0.116,-0.054000000000000006,0.1762946633706194,4,0,0,0,142.509,0.13899999999998158,-8.07,1.722999999999999,
Nothing Else Matters,"Chris Stapleton",0.326,-0.22100000000000003,0.635,0.241,0.0322,0.005999999999999998,0.0207,-0.0315,0.425,0.42499359999999997,0.106,0.026499999999999996,0.26,0.09,0.545318310751583,0,-4,1,1,131.533,-10.837000000000018,-7.122,2.6709999999999994,
Nothing Else Matters,"TRESOR",0.597,0.04999999999999993,0.261,-0.133,0.0299,0.0036999999999999984,0.27,0.21780000000000002,0.00439,0.0043836,0.11,0.0305,0.0463,-0.1237,0.28963888887537187,6,2,0,0,139.859,-2.5109999999999957,-13.189,-3.396000000000001,
Of Wolf and Man,"Goodnight, Texas",0.507,-0.09799999999999998,0.417,-0.37500000000000006,0.0311,-0.005500000000000001,0.0435,0.042511999999999994,4.55e-05,-0.0381545,0.1,0.014800000000000008,0.351,-0.119,0.40975886325282834,5,0,1,0,116.026,-5.742000000000004,-12.376,-5.505999999999999,
The God That Failed,"IDLES",0.329,-0.22200000000000003,0.868,0.05500000000000005,0.0559,0.0196,1.42e-05,-0.0004368,6.85e-06,-0.00011615,0.188,0.014000000000000012,0.338,-0.09299999999999997,0.24806927315784702,11,3,1,0,111.425,28.37899999999999,-6.37,0.03599999999999959,
The God That Failed,"Imelda May",0.459,-0.09200000000000003,0.764,-0.04899999999999993,0.0355,-0.0008000000000000021,0.0285,0.028049,0.00193,0.001807,0.113,-0.060999999999999985,0.353,-0.07800000000000001,0.14649454477897803,11,3,0,-1,162.771,79.72499999999998,-5.749,0.657,
My Friend of Misery,"Cherry Glazerr",0.588,0.02100000000000002,0.865,0.010000000000000009,0.0628,0.027299999999999998,0.0648,0.064565,9.1e-05,-0.007049,0.0825,-0.0175,0.365,0.035999999999999976,0.08430223974486087,9,0,1,1,119.985,0.4719999999999942,-5.798,1.8250000000000002,
My Friend of Misery,"Izïa",0.621,0.05400000000000005,0.799,-0.05599999999999994,0.0337,-0.001799999999999996,0.00216,0.001925,0.00434,-0.0027999999999999995,0.102,0.001999999999999988,0.238,-0.09100000000000003,0.11979893833002028,2,-7,1,1,130.012,10.498999999999995,-5.349,2.274,
My Friend of Misery,"Kamasi Washington",0.376,-0.19099999999999995,0.802,-0.052999999999999936,0.0809,0.0454,0.016,0.015765,0.665,0.65786,0.0564,-0.04360000000000001,0.454,0.125,0.7013597043065705,6,-3,1,1,90.408,-29.105000000000004,-7.809,-0.18599999999999994,
The Struggle Within,"Rodrigo y Gabriela",0.801,0.335,0.957,0.013000000000000012,0.0742,0.0228,0.0936,0.0922,0.797,0.7681,0.0572,-0.1788,0.54,0.03500000000000003,0.8628943909888395,6,6,0,-1,97.468,-1.2980000000000018,-5.686,0.8120000000000003,
